"special_activity_type","product_name","activity_name","unit","ISIC_number","ISIC_class","CPC_number","CPC_description","FAO_code","FAO_name","ProductCategory","ProductSubcategory","ProductName","ActivityName","Unit","ProductSubgroup","FeedIngredients"
"ordinary transforming activity","feldspar","feldspar production","kg","0810","Quarrying of stone, sand and clay","16390","Other minerals n.e.c.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","sodium perborate, tetrahydrate, powder","sodium perborate production, tetrahydrate, powder","kg","2023","Manufacture of soap and detergents, cleaning and polishing preparations, pe","353","Soap, cleaning preparations, perfumes and toilet preparations",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","latex","latex production","kg","2013","Manufacture of plastics and synthetic rubber in primary forms","34790","Other plastics in primary forms; ion exchangers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","anthraquinone","anthraquinone production","kg","2011","Manufacture of basic chemicals","34170","Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]","1432","Oxirane (ethylene oxide) (Trade)",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","anthraquinone","anthraquinone production","kg","2011","Manufacture of basic chemicals","34170","Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]","1433","Dieldrin (Trade)",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","concrete block","concrete block production","kg","2395","Manufacture of articles of concrete, cement and plaster","37510","Non-refractory mortars and concretes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","gravel, crushed","gravel production, crushed","kg","0810","Quarrying of stone, sand and clay","15320","Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","cement mortar","cement mortar production","kg","2394","Manufacture of cement, lime and plaster","37","Glass and glass products and other non-metallic products n.e.c.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","autoclaved aerated concrete block","autoclaved aerated concrete block production","kg","2395","Manufacture of articles of concrete, cement and plaster","37510","Non-refractory mortars and concretes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, hard coal","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, hydro, reservoir, tropical region","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, lignite","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, natural gas, combined cycle power plant","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, natural gas, conventional power plant","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, nuclear, pressure water reactor","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, oil","kWh","3510a","Electric power generation based on liquid fuels","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, low voltage","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","kWh","3510b","Electric power generation, photovoltaic","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, wind, <1MW turbine, onshore","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, wind, >3MW turbine, onshore","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from AR","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from VE","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from UY","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from PY","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","electricity, high voltage","market for electricity, high voltage","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","electricity, low voltage","market for electricity, low voltage","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","electricity, medium voltage","market for electricity, medium voltage","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, hydro, reservoir, alpine region","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from BR","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
